Age,BusinessTravel,DailyRate,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Department_Research & Development,Department_Sales,EducationField_Marketing,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,EmployeeSatisfaction,JobLevelSatisfaction,Attrition
35,0,1097,11,3,2,3,9884,2,1,1,10,3,3,4,0,3,True,False,False,False,True,False,False,False,False,False,False,True,False,2.3333333333333335,3,0
26,1,1443,23,3,2,2,4157,7,1,1,5,2,2,2,2,0,False,True,True,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,8,0
33,2,515,1,1,3,3,13458,1,1,0,15,1,3,15,14,12,True,False,False,False,False,False,False,False,True,False,False,False,True,2.6666666666666665,12,0
35,2,853,18,2,3,3,9069,1,0,1,9,3,2,9,8,8,False,True,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,3,0
35,1,1142,23,3,3,1,4014,3,1,1,4,3,3,2,2,2,True,False,False,False,False,True,False,False,False,False,False,True,False,2.3333333333333335,1,0
31,1,655,7,4,3,2,5915,3,0,1,10,3,2,7,7,7,True,False,False,False,False,True,False,False,False,False,True,False,False,4.0,8,0
37,1,1115,1,1,2,2,5993,1,0,1,7,2,4,7,5,7,True,False,False,False,False,False,False,True,False,False,True,False,False,2.3333333333333335,6,0
32,1,427,1,1,3,2,6162,1,1,1,9,3,3,9,8,8,True,False,False,False,False,False,False,True,False,False,False,True,False,2.3333333333333335,8,0
38,2,653,29,4,3,2,2406,1,0,0,10,2,3,10,3,9,True,False,False,False,False,True,False,False,False,False,False,False,True,4.0,8,0
55,1,836,8,4,3,4,14756,2,1,3,21,2,3,5,0,2,True,False,False,False,False,False,True,False,False,False,True,False,False,3.3333333333333335,12,0
36,2,1195,11,2,2,2,6499,1,0,0,6,3,3,6,5,3,True,False,False,False,False,False,False,True,False,False,False,False,True,2.3333333333333335,4,0
45,1,1339,7,2,3,3,9724,2,0,1,25,2,3,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,2.0,3,0
35,2,664,1,2,3,1,2194,4,0,1,5,2,2,3,2,2,True,False,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,1,0
36,1,318,9,4,2,1,3388,0,1,1,2,0,2,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,3,1
59,2,1225,1,1,2,2,5473,7,0,0,20,2,2,4,3,3,False,True,False,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,6,0
29,1,1328,2,3,3,1,2703,0,0,1,6,3,3,5,4,4,True,False,False,False,False,False,False,False,False,False,False,True,False,3.0,2,0
31,1,1082,1,3,3,1,2501,1,0,0,1,4,3,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True,2.3333333333333335,2,0
32,1,548,1,2,3,2,6220,1,0,2,10,3,3,10,4,9,True,False,False,False,False,False,False,False,False,False,False,True,False,2.0,4,0
36,1,132,6,2,4,1,3038,3,0,0,5,3,3,1,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,2.6666666666666665,4,0
31,1,746,8,3,3,2,4424,1,0,0,11,2,3,11,7,8,True,False,False,False,False,False,False,True,False,False,False,False,True,3.6666666666666665,8,0
35,1,776,1,3,2,2,4312,0,0,0,16,2,3,15,13,8,False,True,True,False,False,False,False,False,False,False,False,False,True,2.0,2,0
45,1,193,6,4,3,3,13245,4,1,0,17,3,4,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,2.3333333333333335,3,0
37,1,397,7,1,3,3,13664,4,0,0,16,3,4,5,2,2,True,False,False,False,False,False,False,False,True,False,False,False,True,1.6666666666666667,9,0
46,1,945,5,2,3,2,5021,8,1,1,16,2,3,4,2,2,False,False,False,False,False,False,False,False,False,False,True,False,False,2.6666666666666665,4,0
30,1,852,1,4,2,2,5126,1,1,2,10,1,2,10,8,0,True,False,False,False,False,True,False,False,False,False,False,True,False,3.6666666666666665,8,0
35,1,1214,1,2,2,1,2859,1,0,0,6,3,3,6,4,4,True,False,False,False,False,False,False,False,False,False,False,False,True,2.0,3,0
55,1,111,1,1,3,3,10239,3,0,1,24,4,3,1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,3.0,12,0
38,0,573,6,2,1,2,5329,7,1,3,17,3,3,13,11,9,True,False,False,False,False,False,False,False,False,False,True,False,False,3.3333333333333335,8,0
34,1,1153,1,1,3,2,4325,1,0,0,5,2,3,5,2,3,True,False,False,False,False,False,False,True,False,False,False,True,False,2.0,4,0
23,1,541,2,3,3,1,2322,3,0,1,3,3,3,0,0,0,False,True,False,True,False,False,False,False,False,True,True,False,False,2.3333333333333335,1,0
51,1,432,9,4,3,1,2075,3,0,2,10,4,3,4,2,3,True,False,False,False,False,True,False,False,False,False,False,True,False,3.3333333333333335,4,0
30,1,288,2,3,2,2,4152,1,0,3,11,3,3,11,10,8,True,False,False,False,True,False,False,False,False,False,False,True,False,2.6666666666666665,8,0
46,1,669,9,3,2,3,9619,1,0,0,9,3,3,9,8,7,False,True,False,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,12,1
40,2,530,1,3,2,4,13503,1,0,1,22,3,2,22,3,11,True,False,False,False,True,False,False,False,False,False,False,True,False,3.0,8,0
51,1,632,21,3,3,2,5441,0,1,0,11,2,1,10,7,0,False,True,True,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,8,0
30,1,1334,4,3,2,2,5209,1,1,3,11,4,2,11,8,7,False,True,False,False,False,False,False,False,False,False,True,False,False,2.3333333333333335,4,0
46,2,638,1,3,2,3,10673,2,1,1,21,5,2,10,9,5,True,False,False,False,True,False,False,False,False,False,False,True,False,2.3333333333333335,3,0
32,1,1093,6,2,3,2,5010,1,0,0,12,0,3,11,8,7,False,True,False,False,False,False,False,False,False,False,False,False,True,2.0,6,0
54,1,1217,2,1,3,3,13549,9,0,1,16,5,1,4,3,3,True,False,False,True,False,False,False,False,True,False,False,True,False,1.6666666666666667,9,0
24,1,1353,3,1,3,2,4999,0,0,1,4,2,2,3,2,2,False,True,False,False,False,False,False,False,False,False,False,True,False,1.6666666666666667,6,0
28,0,120,4,2,3,2,4221,1,0,0,5,3,4,5,4,4,False,True,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,6,0
44,0,489,23,2,3,2,2042,4,0,1,17,3,4,3,2,2,True,False,False,False,False,True,False,False,False,False,False,True,False,2.3333333333333335,4,0
37,1,807,6,3,3,1,2073,4,1,0,7,3,3,3,2,2,False,False,False,False,False,False,False,False,False,False,True,False,False,2.6666666666666665,1,1
32,1,827,1,4,3,1,2956,1,0,0,1,2,3,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,3.0,1,0
20,2,871,6,4,2,1,2926,1,1,0,1,5,3,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,3.3333333333333335,4,1
34,1,665,6,1,3,2,4809,1,0,0,16,3,3,16,13,10,True,False,False,False,False,False,False,False,False,False,False,False,True,2.3333333333333335,6,0
37,0,1040,2,3,2,2,5163,5,0,1,17,2,4,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,3.6666666666666665,8,0
59,0,1420,2,3,2,5,18844,9,0,1,30,3,3,3,2,2,False,False,False,False,False,False,True,False,False,False,False,True,False,3.6666666666666665,20,0
50,2,1115,1,1,3,5,18172,3,1,0,28,1,2,8,3,7,True,False,False,False,False,False,False,False,True,False,False,True,False,1.3333333333333333,10,0
25,1,240,5,3,2,2,5744,1,1,0,6,1,3,6,4,3,False,True,True,False,False,False,False,False,False,False,False,False,True,3.3333333333333335,6,1
25,1,1280,7,4,2,1,2889,1,0,2,2,2,3,2,2,1,True,False,False,False,False,False,False,False,False,False,False,True,False,3.6666666666666665,4,0
22,1,534,15,2,3,1,2871,1,0,0,1,5,3,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,3.0,4,0
34,2,658,7,1,1,2,6074,1,1,0,9,3,3,9,7,6,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,6,1
54,0,142,26,4,4,4,17328,2,1,0,23,3,3,5,3,4,False,False,False,False,False,False,True,False,False,False,False,False,True,3.6666666666666665,16,0
24,1,1127,18,2,3,1,2774,0,0,1,6,2,3,5,3,2,True,False,False,False,False,True,False,False,False,False,False,True,False,2.6666666666666665,3,0
34,1,1031,6,3,2,2,4505,6,0,1,12,3,3,1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,2.6666666666666665,4,0
37,1,1189,3,3,3,3,7428,2,0,0,12,3,3,5,3,3,False,True,False,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,12,0
34,1,1354,5,3,2,3,11631,2,0,0,14,6,3,11,10,8,True,False,False,False,False,False,True,False,False,False,False,False,True,2.6666666666666665,3,0
36,2,1467,11,2,3,3,9738,0,0,1,10,6,3,9,7,8,False,True,False,True,False,False,False,False,False,False,False,True,False,3.0,12,0
36,1,922,3,1,3,1,2835,5,0,1,7,2,3,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,2.0,4,0
43,2,394,26,3,3,4,16959,1,1,2,25,3,4,25,12,12,False,True,False,False,False,False,True,False,False,False,False,True,False,3.6666666666666665,16,0
30,2,1312,23,1,1,1,2613,1,0,3,10,2,2,10,7,9,True,False,False,False,False,False,False,False,False,False,True,False,False,2.3333333333333335,3,0
33,0,750,22,3,3,2,6146,0,0,1,8,2,4,7,7,7,False,True,True,False,False,False,False,False,False,False,False,True,False,2.0,4,0
56,1,441,14,2,3,1,4963,9,1,3,7,2,3,5,4,3,True,False,False,False,False,False,False,False,False,False,False,True,False,1.6666666666666667,2,1
31,1,249,6,2,1,2,6172,4,1,0,12,3,2,7,7,7,False,True,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,6,1
26,1,841,6,3,2,1,2368,1,0,0,5,3,2,5,4,3,True,False,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,2,0
19,1,528,22,4,3,1,1675,1,1,0,0,2,2,0,0,0,False,True,True,False,False,False,False,False,False,True,False,False,True,3.6666666666666665,3,1
22,1,594,2,3,3,1,2523,0,0,1,3,2,3,2,1,1,True,False,False,True,False,True,False,False,False,False,False,True,False,3.3333333333333335,4,0
49,1,470,20,3,3,2,6567,1,0,0,16,2,2,15,11,11,True,False,False,False,False,False,False,True,False,False,False,True,False,2.3333333333333335,2,0
43,2,957,28,2,4,1,4739,4,0,0,18,2,3,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,True,3.0,3,0
50,2,809,12,3,3,3,9208,4,0,0,16,3,3,2,2,1,False,True,True,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,12,0
31,1,542,20,2,1,2,4559,3,1,1,4,2,3,2,2,2,False,True,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,6,1
41,1,802,9,3,3,3,8189,3,1,1,12,2,3,9,7,7,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0,9,0
26,1,1355,25,3,3,1,2942,1,0,1,8,3,3,8,7,7,False,False,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,3,0
36,1,216,6,2,3,2,4941,6,0,2,7,0,3,3,2,1,True,False,False,False,False,False,False,True,False,False,True,False,False,2.6666666666666665,4,0
51,2,1150,8,1,1,3,10650,2,0,0,18,2,3,4,2,3,True,False,False,False,False,False,False,True,False,False,False,False,True,3.0,12,1
39,1,1329,4,4,2,2,5902,4,0,1,17,1,4,15,11,9,False,True,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,6,0
25,1,959,28,1,2,2,8639,2,0,0,6,3,3,2,2,2,False,True,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,6,0
30,1,1240,9,3,3,2,6347,0,1,0,12,2,1,11,9,7,False,False,False,False,False,False,False,False,False,False,False,True,False,3.6666666666666665,8,0
32,1,1033,9,1,3,1,4200,7,0,0,10,2,4,5,4,4,True,False,False,False,False,True,False,False,False,False,False,False,True,1.0,1,1
45,1,1316,29,3,3,1,3452,5,0,0,9,2,2,6,5,3,True,False,False,False,False,False,False,False,False,False,False,False,True,3.0,4,0
38,1,364,3,4,3,2,4317,3,1,0,19,2,3,3,2,2,True,False,False,True,False,False,False,False,False,False,False,False,True,3.0,6,0
30,1,438,18,1,3,1,2632,1,0,0,5,4,2,5,4,4,True,False,False,False,False,False,False,False,False,False,False,False,True,2.3333333333333335,3,0
32,2,689,9,4,1,2,4668,0,0,3,9,2,4,8,7,7,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0,8,0
30,1,201,5,4,3,1,3204,5,0,1,8,3,3,3,2,2,True,False,False,True,False,False,False,False,False,False,True,False,False,3.0,1,0
30,1,1427,2,2,2,1,2720,0,0,0,6,3,3,5,3,2,True,False,False,False,False,True,False,False,False,False,False,False,True,3.3333333333333335,4,0
41,2,857,10,4,2,4,17181,4,0,1,21,2,2,7,6,7,True,False,False,False,False,False,True,False,False,False,True,False,False,2.3333333333333335,4,0
41,1,933,9,3,3,1,2238,2,0,1,7,2,3,5,0,4,True,False,False,False,False,True,False,False,False,False,False,True,False,2.6666666666666665,1,0
19,1,1181,3,2,3,1,1483,1,0,0,1,3,3,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,2,0
40,2,1395,26,2,3,2,5605,1,0,1,20,2,3,20,7,13,True,False,False,False,False,False,False,False,False,False,True,False,False,1.6666666666666667,4,0
35,1,662,1,3,3,3,7295,1,0,2,10,3,3,10,8,6,False,True,True,False,False,False,False,False,False,False,False,True,False,2.0,6,0
53,1,1436,6,2,3,2,2306,2,1,1,13,3,1,7,7,5,False,True,True,False,False,False,False,False,False,True,False,True,False,3.0,6,0
32,2,967,8,2,3,3,8998,1,0,0,9,2,3,9,8,7,False,True,True,False,False,False,False,False,False,False,False,False,True,3.3333333333333335,12,0
29,0,1496,1,4,3,2,4319,1,0,1,10,1,3,10,7,9,True,False,False,True,False,False,False,True,False,False,False,True,False,2.6666666666666665,6,0
51,1,1169,7,2,2,2,6132,2,0,0,10,2,3,1,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,2.6666666666666665,6,0
58,1,1145,9,2,2,1,3346,4,1,1,9,3,2,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2.0,2,0
40,1,630,4,3,2,3,10855,7,0,1,15,2,2,12,11,11,False,True,True,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,12,0
34,2,303,2,3,3,1,2231,6,0,1,6,3,3,4,3,2,False,True,True,False,False,False,False,False,False,True,False,True,False,3.3333333333333335,3,0
22,1,1256,19,3,3,1,2323,1,0,2,2,6,3,2,2,2,True,False,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,4,0
27,0,691,9,4,3,1,2024,6,0,1,6,1,1,2,2,2,True,False,False,False,False,False,False,False,False,False,True,False,False,3.3333333333333335,2,0
28,1,440,21,3,3,1,2713,1,0,1,5,2,1,5,2,2,True,False,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,4,0
57,1,334,24,3,4,3,9439,3,1,1,12,2,1,5,3,4,True,False,False,False,True,False,False,False,False,False,True,False,False,3.0,12,0
27,0,1450,3,3,2,1,2566,1,1,1,1,2,2,1,1,1,True,False,False,False,False,False,False,False,False,False,True,False,False,3.3333333333333335,3,0
50,1,1452,11,3,3,5,19926,3,0,0,21,5,3,5,4,4,True,False,False,False,False,False,True,False,False,False,False,False,True,2.3333333333333335,10,0
41,1,465,14,1,3,1,2451,4,0,1,13,2,3,9,8,8,True,False,False,False,False,False,False,False,False,False,True,False,False,1.6666666666666667,3,0
30,1,1339,5,2,3,3,9419,2,0,1,12,2,3,10,9,4,False,True,False,False,False,False,False,False,False,False,False,True,False,3.0,12,0
38,1,702,1,1,2,2,8686,4,0,0,12,2,4,8,3,7,False,True,False,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,8,0
32,1,120,6,3,3,1,3038,3,0,0,8,2,3,5,4,4,True,False,False,False,False,False,False,False,False,False,False,False,True,2.3333333333333335,3,0
27,1,1157,17,3,3,1,3058,0,1,1,6,3,2,5,2,1,True,False,False,True,False,False,False,False,False,False,False,True,False,3.0,2,0
19,2,602,1,3,1,1,2325,0,0,0,1,5,4,0,0,0,False,True,False,True,False,False,False,False,False,True,False,False,True,1.6666666666666667,1,1
36,2,1480,3,4,3,1,2088,4,0,0,13,3,2,8,7,2,True,False,False,False,False,True,False,False,False,False,False,False,True,3.0,2,0
30,0,111,9,3,3,2,3072,1,0,2,12,4,3,12,9,10,True,False,False,False,False,True,False,False,False,False,True,False,False,2.3333333333333335,2,0
45,1,1268,4,3,3,2,5006,4,1,1,9,3,4,5,4,3,False,True,False,False,False,False,False,False,False,False,True,False,False,1.6666666666666667,2,0
56,1,713,8,3,3,1,4257,4,1,1,19,3,3,2,2,2,True,False,False,False,False,False,False,False,False,False,True,False,False,2.3333333333333335,1,0
33,1,134,2,3,3,1,2500,0,0,0,4,2,4,3,1,2,True,False,False,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,4,0
19,1,303,2,2,2,1,1102,1,0,0,1,3,2,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,3.0,4,1
38,1,1380,9,3,3,1,2288,1,0,0,2,3,3,2,2,1,True,False,False,False,False,True,False,False,False,False,False,False,True,3.3333333333333335,4,0
31,1,140,12,3,3,1,3929,8,1,1,7,0,3,4,2,2,True,False,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,4,0
34,1,629,27,4,3,1,2311,2,0,0,9,3,3,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,True,3.3333333333333335,2,0
41,1,1356,20,2,3,1,3140,1,1,0,4,5,2,4,3,2,False,True,True,False,False,False,False,False,False,True,False,False,True,2.6666666666666665,2,1
50,1,328,1,3,2,1,3690,2,0,1,5,2,2,3,2,2,True,False,False,False,False,True,False,False,False,False,False,True,False,3.3333333333333335,3,0
53,1,1084,13,4,4,2,4450,1,0,2,5,3,3,4,2,3,True,False,False,False,False,False,False,True,False,False,True,False,False,2.6666666666666665,2,0
33,1,931,14,4,3,1,2756,1,0,1,8,5,3,8,7,6,True,False,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,2,0
40,1,989,4,4,3,5,19033,1,0,1,21,2,3,20,8,9,True,False,False,False,False,False,True,False,False,False,False,True,False,3.0,15,0
34,2,1069,2,4,2,2,9547,1,0,0,10,2,2,10,9,9,True,False,False,False,False,False,False,True,False,False,False,True,False,3.3333333333333335,6,0
51,1,313,3,4,3,4,13734,3,0,0,21,6,3,7,7,0,True,False,False,False,True,False,False,False,False,False,False,False,True,3.0,8,0
27,1,894,9,4,3,1,2279,1,0,0,7,2,2,7,7,3,True,False,False,False,False,False,False,False,False,False,False,False,True,3.3333333333333335,2,0
35,1,556,23,2,2,2,5916,3,1,0,8,1,3,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,2.0,6,1
43,0,1344,7,4,4,1,2089,4,0,3,7,3,4,5,4,2,True,False,False,False,False,False,False,False,False,False,True,False,False,4.0,4,0
45,0,1195,2,1,2,4,16792,9,0,1,22,1,3,20,8,8,True,False,False,False,False,False,True,False,False,False,False,True,False,3.0,16,0
37,1,290,21,2,4,1,3564,1,1,1,8,3,2,8,7,7,True,False,False,False,False,False,False,False,False,False,False,True,False,1.3333333333333333,1,0
35,2,138,2,2,3,2,4425,5,0,0,10,5,3,6,2,2,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,4,0
